State,Name of District (Traffic unit),Name of Jurisdictional Police Station,NH/SH/MDR/OR No.,Name of Location Place,Limits of High Accident Prone Location - Starting from (km),Limits of High Accident Prone Location - Ending to (km),Numbers of Accidents - 2016,Numbers of Accidents - 2017,Numbers of Accidents - 2018,Numbers of Accidents - Total of all three years,Numbers of Fatalities - 2016,Numbers of Fatalities - 2017,Numbers of Fatalities - 2018,Numbers of Fatalities - Total of all three years,Latitude,Longitude
Tripura,West,Amtali PS,NH,Siddhi Ashram,1 mtr.,400 mtrs.,7,4,3,14,3,3,1,7,23.7816113,91.2660566
Tripura,SPJ,Bisramganj,NH,Chesrimai to Puskar Bari,0,1/2 KM,7,3,4,14,5,1,0,6,23.6061449,91.3437034
Tripura,West,Ranirbazar PS,NH,Bridhinagar,1 mtr.,425 mtrs.,6,2,4,12,2,2,1,5,23.8331071,91.367422
Tripura,Gomati,R.K. Pur PS,NH,Chanban to rajarbag Motor Stand,0,500 mtrs.,3,4,2,9,0,2,3,5,,
Tripura,Dhalal,Manu PS,NH,S.K. Para area,378.00 KM,378.00 KM,1,2,0,3,1,3,0,4,23.9978231,91.9940276
Tripura,West,Amtali PS,NH,Sekher Kote,1 mtr.,450 mtrs.,3,5,6,14,1,2,1,4,23.7816113,91.2660566
Tripura,West,Amtali PS,NH,Surjyamoni Nagar,1 mtr.,350 mtrs.,5,3,6,14,1,0,3,4,23.7816113,91.2660566
Tripura,Gomati,R.K. Pur PS,NH,Peratia to Natintilla,0,500 mtrs.,2,3,3,8,1,2,1,4,,
Tripura,North,Churaibari,NH,Sanicherra,6 KM,5 KM,0,0,3,3,0,0,2,2,24.4411047,92.2535006
Tripura,Unakoti,Kumarghat-Pecharthal,NH,Sidhangcherra,12 KM,0.5 KM,2,3,0,5,0,2,0,2,24.1904504,92.1020752
Kerala,Kollam rural,Kundara,NH 744,Keralapuram,9.75,10.25,16,17,3,36,9,9,10,28,8.9601841,76.6788091
Kerala,Alappuzha,Aroor,NH 66,Aroor Bypass to Aroor Temple,.250 north,.250 south,71,34,59,164,9,6,11,26,9.878191,76.3038672
Kerala,Alappuzha,Haripad,NH 66,Karuvatta- Vazhiyambalam,.350 south,.150 north,17,42,16,75,6,9,4,19,9.2798559,76.4592235
Kerala,Alappuzha,Aroor,NH 66,Eramalloor,.250 north,.250 south,36,42,38,116,9,6,3,18,9.878191,76.3038672
Kerala,Alappuzha,Aroor,NH 66,Chandiroor,.150 north,.350 south,27,31,30,88,5,7,5,17,9.878191,76.3038672
Kerala,Alappuzha,Haripad,NH 66,Madhava Junction- Haripad- KSRTC JN,.350 south,.150 north,16,20,35,71,3,3,9,15,9.2798559,76.4592235
Kerala,Alappuzha,Kareelakulangara,NH 66,Ramapuram,.250 north,.250 south,13,13,17,43,5,2,6,13,9.1934397,76.4852265
Kerala,Kannur,Valapattanam,NH,Pappinisseri Chungam to Velapuram,00 Mtr,500 Mtr,10,8,10,28,6,3,4,13,11.9261679,75.3499629
Kerala,Alappuzha,Kuthiathode,NH 66,Thuravoor St George Church to  Reliance Petrol Pump,.250 north,.250 south,36,26,24,86,3,6,3,12,9.7934071,76.3159664
Kerala,Kozhikode Rural,Vatakara,NH,Kainatty,"Kainatty
001 Meter","KT Bazar
500 Meter",10,12,9,31,3,4,5,12,11.601558,75.5919758
Telangana,Suryapet,Kodad Town,NH 65,SRM School,177,177/4,3,0,1,4,5,0,18,23,16.9947467,79.9750257
Telangana,Sangareddy,Sadasivpet,NH 65,Nandikandi outskirts,76.5,76,17,7,7,31,15,1,6,22,17.6202841,77.9538767
Telangana,Sangareddy,Kondapur,NH 65,Malkapur X Road,56.5,56,13,15,7,35,7,10,5,22,17.4698577,78.3578246
Telangana,Sangareddy,Patancheru,NH 65,Muthangi (V) limits,33.5,33,9,14,7,30,8,5,7,20,17.5287427,78.266725
Telangana,Rachakonda,Ghatkesar PS,NH 163,Aushapur Village ,29 Kms,29.5 Kms,17,9,12,38,7,5,7,19,17.4436753,78.6939807
Telangana,Sangareddy,Patancheru,NH 65,Isnapur X Road,35.5,35,12,10,13,35,9,3,5,17,17.5287427,78.266725
Telangana,Suryapet,Kodad Town,NH 65,Mellachervu Fly Over,181,181/4,6,1,2,9,14,1,2,17,16.9947467,79.9750257
Telangana,Cyberabad,Narsingi,NH 163,Tippukhan bridge to Hydershakote,6.5 Kms,7 Kms,11,17,11,39,9,6,2,17,17.3875755,78.3572111
Telangana,Warangal,Mamnoor,NH 563,Nayudu Petrol Pump Cross,127,127.5,16,10,9,35,9,5,3,17,17.9088426,79.59265
Telangana,Kamareddy,Devanpally,NH 44,Tekriyal /'X' ROAD ,117.5,117,10,4,3,17,8,5,3,16,18.1890996,78.0352346
Maharastra,Dhule,Dhule Taluka,NH-6,Katsar Village,508/8,509/3,2,NA,NA,2,19,NA,NA,19,20.9042201,74.7748979
Maharastra,NANDED,Nanded Rural,NH- 361,Muslmanwadi Pati,15 km,15.5 km,1,2,2,5,1,7,5,13,19.1485289,77.3191471
Maharastra,Amravati Rural,Loni,NH-6,Nagzari Fata,177/950,177/950,1,4,3,8,1,5,4,10,28.7333526,77.2986264
Maharastra,Solapur Rural,Tembhurni,NH-65,Kanergaon Pati Solapur to Pune,162/350,162/850,6,3,NA,9,6,3,NA,9,18.0294545,75.1908395
Maharastra,Dhule,Dhule Taluka,NH-3,Near Purmepada Village,282/0,282/5,0,7,NA,7,0,6,NA,6,20.9042201,74.7748979
Maharastra,Bhandara,Jawahar Nagar,NH-53,Shahapur,500/600,500/600,2,5,4,11,1,2,2,5,13.1108545,80.2274314
Maharastra,Satara ,Bhuinj,NH-4,Near Anewadi Valsure Pul,748,748,0,2,4,6,0,2,3,5,17.876184,73.9697795
Maharastra,Amaravati City,GadgeNagar ,NH - 6,"Gori In Hotel ""T"" Point",0,0,2,2,1,5,2,2,1,5,20.9502513,77.7657599
Maharastra,Dhule,Nardana,NH-3,"Gori In Hotel ""T"" Point",216/2,216/5,1,5,NA,6,1,4,NA,5,21.1879926,74.8258562
Maharastra,Sangli,Miraj City,NH-166,Near D mart pandharpur Road Miraj,196/1,196/6,1,4,NA,5,1,4,NA,5,16.8222363,74.6508894
Jammu and Kashmir,Ramban,Ramban,NHW-1A,Kelamorh,159,159.5,1,3,2,6,1,9,26,36,33.2463875,75.1938909
Jammu and Kashmir,Ramban,Ramsoo,NHW-1A,Nachlana,173,173.5,1,4,3,10,2,19,4,28,33.3364494,75.1928403
Jammu and Kashmir,Samba,Bari Brahmana,NHW-44, Railway crossing,13.5,14,5,6,6,23,6,4,5,19,32.6365219,74.9141351
Jammu and Kashmir,Ramban,Banihal,NHW-1A,Chamalwas,179,179.5,3,1,1,8,11,2,1,18,33.4370131,75.1939345
Jammu and Kashmir,Kathua,Kathua,NH,Barnoti Morh,8 km ,8 ½ km,19,18,15,70,4,5,3,16,32.3863082,75.5173465
Jammu and Kashmir,Kathua,Rajbagh,NH,Rajbagh,500 mtrs,01 Km,15,10,17,75,3,0,6,14,34.0661987,74.8287807
Jammu and Kashmir,Ramban,Banihal,NHW-1A,Shatani Nallah,202,202.5,1,2,0,4,2,5,0,14,33.4370131,75.1939345
Jammu and Kashmir,Kathua,Lakhanpur,NH,Lakhanpur  to Golden Gate,500 mtrs,1 km,8,7,10,33,1,4,2,12,32.3853003,75.6419023
Jammu and Kashmir,Ramban,Banihal,NHW-1A,Shabanbass,180,180.5,3,0,1,6,8,0,1,11,33.4370131,75.1939345
Jammu and Kashmir,Samba,Samba,NHW-44, Bus Stand Chowk,1,1.5,16,7,5,28,7,2,1,10,,
Jharkhand,Deoghar,Jasidih,NH-333,Near Digariya pahar,147.5,148,0,4,1,5,0,2,0,2,24.5213913,86.6421759
Jharkhand,Deoghar,Jasidih,NH-333,"Deoghar Jasidih road, Near Railway Over Bridge",156.8,157.3,1,2,2,5,1,1,1,3,24.5213913,86.6421759
Jharkhand,Deoghar,Mohanpur,NH-114A,"Hindolwaran,Deoghar Dumka road",121.65,122.15,3,2,2,7,2,2,0,4,22.5256758,88.7542102
Jharkhand,Dumka,Dumka town,NH114A,Pusaro Bridge,66.5,67,0,1,5,6,0,1,3,4,24.2684794,87.2488088
Jharkhand,Dumka,Jama,NH114A,Asanthar,82,82.5,1,2,2,5,0,2,0,2,,
Jharkhand,Dumka,Jarmundi,NH114A,Basukinath Bus Stand,87,87.5,1,0,5,6,1,0,4,5,24.3946328,87.0474368
Jharkhand,Dumka,Jarmundi,NH114A,Jarmundi Bajrangbali More,92,92.5,6,1,1,8,5,0,0,5,24.3946328,87.0474368
Jharkhand,Dumka,Mufassil,NH114A,Dasoraidih,55.2,55.7,0,4,3,7,0,3,2,5,,
Jharkhand,Dumka,Saraiyahat,NH114A,Chihuntiya,104.5,105,0,3,2,5,0,3,3,6,24.580113,87.0105681
Jharkhand,Dumka,Shikaripara,NH114A,"Patabari, Barmasia",48,48.5,9,2,2,13,5,0,2,7,24.2388932,87.4678266
Karnataka,Ramanagar District,Kaggalipura PS,NH 209,Agara Cross,7.5 Km,8  Km,9,24,35,68,13,14,10,37,12.2751499,76.890797
Karnataka,Bagalkot District ,BGK RL PS,NH 50,Devalapur Cross,0,500 (Mtrs),4,2,7,13,13,14,8,35,,
Karnataka,Ramanagar District,Traffic Station,     NH-275,Mayaganahalli,8Km,8.5Km,8,9,13,30,13,14,3,30,,
Karnataka,Raichur District,Raichur Rural ,NH,Base Pawer To M.P.C.L,0,500m,7,5,6,18,12,9,8,29,16.216018,77.3565608
Karnataka,Chitradurga District,HIRIYUR RURAL POLICE STATION,NH-4,J.G.HALLI,17.5 km,18 km,9,12,6,27,7,12,9,28,13.9591771,76.6110671
